Double_Up,No_Up,Single_Up,Num_D,Num_N,Num_S
0.11016769554424702,0.025405432586848818,0.03723135436421722,1,1,1
0.0956920793726451,0.015905969217943523,0.03441999732063444,1,1,1
0.11913045934625728,0.022224400507480598,0.03129102266572491,1,1,1
0.11117504591885574,0.016789198879211986,0.03297578308749029,1,1,1
0.1152899573481085,0.02245961562939805,0.041634417919322826,1,1,1
0.12083505165095128,0.015555541672631686,0.033612425793141755,1,1,1
0.1179969822314812,0.017521434855528633,0.030645400735364668,1,1,1
0.1151785384199533,0.01997984738565232,0.0394794211677907,1,1,1
0.11938314529716774,0.017456811354639393,0.040522221740714334,1,1,1
0.11234620456845745,0.020405241040672806,0.034874683806938894,1,1,1
0.11216030807532193,0.01638330062193089,0.03780678093457882,1,1,1
0.10726699413151297,0.024640133925076142,0.03110119583333941,1,1,1
0.11852236484073367,0.02317985257191015,0.03539333761055974,1,1,1
0.11705684924755448,0.01559745398505629,0.038339056885014405,1,1,1
0.11509234445917062,0.02099267377046627,0.037916904118976066,1,1,1
0.11395276108475633,0.017587038813987137,0.03585726348609944,1,1,1
0.12284731737715364,0.017041913737008092,0.03781298565486148,1,1,1
0.11600859941332536,0.02112150097205716,0.03718995747298261,1,1,1
0.11728933095875319,0.020000568971429388,0.03702902856052739,1,1,1
0.1012772229965008,0.021209720356246076,0.033018895984651575,1,1,1
0.11686202799278189,0.01667230197332743,0.033635700382394926,1,1,1
0.11673601645591644,0.025867320421064544,0.0357931020792238,1,1,1
0.1143021716386734,0.019612260546886532,0.040053378168726866,1,1,1
0.1240577890506141,0.020749203152981115,0.03174809639579229,1,1,1
0.11261935325214718,0.02377988219005401,0.03558024813063044,1,1,1
0.11363567132878404,0.01727066473645526,0.03411109426948592,1,1,1
0.11251647784587995,0.019133555254981928,0.03976907302960837,1,1,1
0.09803544394300912,0.019614621036148982,0.03999235212950222,1,1,1
0.12142399333014496,0.020934483207907834,0.03495895520499069,1,1,1
0.1128822866189987,0.01835071015287599,0.03431178742414086,1,1,1
0.11415867962332711,0.022575673170495615,0.03184994167692533,1,1,1
0.11406582400814727,0.02036525247489423,0.031414037458817025,1,1,1
0.10442128118380051,0.02272163181463136,0.029311205067303434,1,1,1
0.11482644596559824,0.01824231603069399,0.029784303166383305,1,1,1
0.12232536343145736,0.015536353323685265,0.03407014686671548,1,1,1
0.10514080574703294,0.024190527430785546,0.03771618856958877,1,1,1
0.1108020789646192,0.021694338613501528,0.03457359890797368,1,1,1
0.121085542059657,0.020954700106683797,0.030870431446535514,1,1,1
0.11203441210260906,0.02274476934775467,0.028861451488744215,1,1,1
0.11418972055244192,0.023474395483798184,0.03800603257052915,1,1,1
0.11177103104151195,0.02264824739834772,0.03661673395491484,1,1,1
0.10058540299983686,0.01853598551797305,0.038082460231454826,1,1,1
0.11662714992045045,0.024251299040433678,0.039108677697656774,1,1,1
0.11566317136895451,0.017941542973530254,0.03634716159502352,1,1,1
0.1133873233207965,0.02170203758578493,0.03541292619368701,1,1,1
0.10284981906966222,0.02225662936103408,0.03149049738490524,1,1,1
0.1164953342110549,0.023400707762002215,0.03136474057734442,1,1,1
0.11111111215641367,0.019673615052870574,0.032109470800731815,1,1,1
0.11309352098321243,0.02090237718032893,0.03981445200837841,1,1,1
0.12075012648393615,0.017435973176844293,0.04127104028849973,1,1,1
0.11707501909880946,0.0211011720460777,0.03498965060310197,1,1,1
0.11212957035459781,0.023805434666971034,0.03910183383362253,1,1,1
0.11495036422796426,0.021747325925017953,0.03794520518456432,1,1,1
0.0971380012632032,0.020434914599543847,0.03659441243202779,1,1,1
0.12153817744472337,0.017130316124228037,0.04013105524961284,1,1,1
0.11665966637090372,0.02213170868252054,0.031526962427653536,1,1,1
0.11696155708967082,0.018960335938074398,0.0322489778694682,1,1,1
0.10382459445261545,0.02408443026418419,0.039267427586924336,1,1,1
0.12019019437116535,0.020764424269802035,0.037634263566858034,1,1,1
0.11005875946044341,0.02084539147320004,0.03499074017770268,1,1,1
0.11086872365753422,0.017590950233467385,0.039859126811267555,1,1,1
0.10381343192566028,0.022382942428105512,0.031317770672934946,1,1,1
0.11680196733570063,0.01640590646491521,0.03847542509522456,1,1,1
0.11086027500541437,0.02502630235421527,0.036081466346519514,1,1,1
0.10760029963703552,0.02246529008672124,0.03322878270133575,1,1,1
0.11097803028488712,0.016437517119666546,0.03771638999005092,1,1,1
0.11472418290556526,0.01867217554717279,0.033985166732010824,1,1,1
0.11042152196157651,0.018291833782119692,0.03550026701835704,1,1,1
0.12128941633527181,0.018854042913232845,0.03260601015148156,1,1,1
0.10297270998903922,0.021420611817341156,0.026708340119472707,1,1,1
0.11379688221048538,0.017669345286572234,0.032384368933733435,1,1,1
0.11144205916198713,0.020236436231835603,0.028829297038508773,1,1,1
0.11801392191981608,0.0200639344615961,0.0402029216874667,1,1,1
0.10778668761581578,0.019026317929228483,0.03323760453491678,1,1,1
0.11338356635207403,0.01682673546471116,0.03693012999790728,1,1,1
0.11880327601432944,0.02237200224529825,0.0373563781619298,1,1,1
0.09824017535930138,0.01924802527772649,0.0359343338334747,1,1,1
0.11375882884727706,0.017120646100812015,0.03332128895004663,1,1,1
0.12382269120173864,0.02118378414526715,0.03139245772481828,1,1,1
0.11162089775528214,0.022513568065722325,0.03485349282240477,1,1,1
